          32          32          32
   3.94156170       3.93756294       3.93856335    
   6.15624934E-02  0.311562479       3.56356335       67.2300034    
   6.15624934E-02  0.311562479       3.68856335       77.5699997    
   6.15624934E-02  0.311562479       3.81356335       88.5599976    
   6.15624934E-02  0.311562479       3.93856335       122.500000    
   6.15624934E-02  0.436562479       6.15624934E-02   40.1800003    
   6.15624934E-02  0.436562479      0.191562608       39.0800018    
   6.15624934E-02  0.436562479      0.311562479       37.8699989    
   6.15624934E-02  0.436562479      0.441562593       36.5600014    
   6.15624934E-02  0.436562479      0.561562479       35.5600014    
   6.15624934E-02  0.436562479      0.691562593       34.8699989    
   6.15624934E-02  0.436562479      0.811562479       34.2700005    
   6.15624934E-02  0.436562479      0.941562593       33.7700005    
   6.15624934E-02  0.436562479       1.06156254       33.6199989    
   6.15624934E-02  0.436562479       1.19156265       33.8100014    
   6.15624934E-02  0.436562479       1.31156254       34.0900002    
   6.15624934E-02  0.436562479       1.44156265       34.4799995    
   6.15624934E-02  0.436562479       1.56156254       34.9199982    
   6.15624934E-02  0.436562479       1.69156265       35.4300003    
   6.15624934E-02  0.436562479       1.81156254       36.0099983    
   6.15624934E-02  0.436562479       1.94156265       36.6599998    
   6.15624934E-02  0.436562479       2.06156254       37.2200012    
   6.15624934E-02  0.436562479       2.19156265       37.6699982    
   6.15624934E-02  0.436562479       2.31156254       38.5699997    
   6.15624934E-02  0.436562479       2.43856335       39.9300003    
   6.15624934E-02  0.436562479       2.56356335       41.5600014    
   6.15624934E-02  0.436562479       2.68856335       43.4700012    
   6.15624934E-02  0.436562479       2.81356335       45.9399986    
   6.15624934E-02  0.436562479       2.93856335       45.9900017    
   6.15624934E-02  0.436562479       3.06356335       48.8600006    
   6.15624934E-02  0.436562479       3.18856335       53.2900009    
   6.15624934E-02  0.436562479       3.31356335       59.8699989    
   6.15624934E-02  0.436562479       3.43856335       64.2099991    
   6.15624934E-02  0.436562479       3.56356335       66.1100006    
   6.15624934E-02  0.436562479       3.68856335       73.5800018    
   6.15624934E-02  0.436562479       3.81356335       83.2699966    
   6.15624934E-02  0.436562479       3.93856335       113.699997    
   6.15624934E-02  0.561562479       6.15624934E-02   39.0200005    
   6.15624934E-02  0.561562479      0.191562608       37.9199982    
   6.15624934E-02  0.561562479      0.311562479       36.7099991    
   6.15624934E-02  0.561562479      0.441562593       35.4099998    
   6.15624934E-02  0.561562479      0.561562479       34.4000015    
   6.15624934E-02  0.561562479      0.691562593       33.6800003    
   6.15624934E-02  0.561562479      0.811562479       33.0800018    
   6.15624934E-02  0.561562479      0.941562593       32.5900002    
   6.15624934E-02  0.561562479       1.06156254       32.4000015    
   6.15624934E-02  0.561562479       1.19156265       32.5200005    
   6.15624934E-02  0.561562479       1.31156254       32.6899986    
   6.15624934E-02  0.561562479       1.44156265       32.9300003    
   6.15624934E-02  0.561562479       1.56156254       33.2500000    
   6.15624934E-02  0.561562479       1.69156265       33.6500015    
   6.15624934E-02  0.561562479       1.81156254       34.1500015    
   6.15624934E-02  0.561562479       1.94156265       34.7500000    
   6.15624934E-02  0.561562479       2.06156254       35.2799988    
   6.15624934E-02  0.561562479       2.19156265       35.7200012    
   6.15624934E-02  0.561562479       2.31156254       36.6699982    
   6.15624934E-02  0.561562479       2.43856335       38.1199989    
   6.15624934E-02  0.561562479       2.56356335       39.7799988    
   6.15624934E-02  0.561562479       2.68856335       41.6500015    
   6.15624934E-02  0.561562479       2.81356335       43.8499985    
   6.15624934E-02  0.561562479       2.93856335       43.2599983    
   6.15624934E-02  0.561562479       3.06356335       46.0900002    
   6.15624934E-02  0.561562479       3.18856335       51.0099983    
   6.15624934E-02  0.561562479       3.31356335       56.5299988    
   6.15624934E-02  0.561562479       3.43856335       60.3400002    
   6.15624934E-02  0.561562479       3.56356335       62.7200012    
   6.15624934E-02  0.561562479       3.68856335       67.9800034    
   6.15624934E-02  0.561562479       3.81356335       74.3799973    
   6.15624934E-02  0.561562479       3.93856335       95.8499985    
   6.15624934E-02  0.686562479       6.15624934E-02   37.0200005    
   6.15624934E-02  0.686562479      0.191562608       35.9700012    
   6.15624934E-02  0.686562479      0.311562479       34.8499985    
   6.15624934E-02  0.686562479      0.441562593       33.6399994    
   6.15624934E-02  0.686562479      0.561562479       32.7099991    
   6.15624934E-02  0.686562479      0.691562593       32.0499992    
   6.15624934E-02  0.686562479      0.811562479       31.5100002    
   6.15624934E-02  0.686562479      0.941562593       31.1000004    
   6.15624934E-02  0.686562479       1.06156254       30.9300003    
   6.15624934E-02  0.686562479       1.19156265       31.0100002    
   6.15624934E-02  0.686562479       1.31156254       31.1599998    
   6.15624934E-02  0.686562479       1.44156265       31.3700008    
   6.15624934E-02  0.686562479       1.56156254       31.6900005    
   6.15624934E-02  0.686562479       1.69156265       32.1100006    
   6.15624934E-02  0.686562479       1.81156254       32.7400017    
   6.15624934E-02  0.686562479       1.94156265       33.5699997    
   6.15624934E-02  0.686562479       2.06156254       34.2299995    
   6.15624934E-02  0.686562479       2.19156265       34.7099991    
   6.15624934E-02  0.686562479       2.31156254       35.7999992    
   6.15624934E-02  0.686562479       2.43856335       37.5099983    
   6.15624934E-02  0.686562479       2.56356335       39.3699989    
   6.15624934E-02  0.686562479       2.68856335       41.3899994    
   6.15624934E-02  0.686562479       2.81356335       43.3300018    
   6.15624934E-02  0.686562479       2.93856335       43.6899986    
   6.15624934E-02  0.686562479       3.06356335       44.5099983    
   6.15624934E-02  0.686562479       3.18856335       48.5299988    
   6.15624934E-02  0.686562479       3.31356335       52.5900002    
   6.15624934E-02  0.686562479       3.43856335       55.5000000    
   6.15624934E-02  0.686562479       3.56356335       56.6399994    
   6.15624934E-02  0.686562479       3.68856335       59.0800018    
   6.15624934E-02  0.686562479       3.81356335       63.4900017    
   6.15624934E-02  0.686562479       3.93856335       90.8099976    
   6.15624934E-02  0.811562479       6.15624934E-02   35.4599991    
   6.15624934E-02  0.811562479      0.191562608       34.4599991    
   6.15624934E-02  0.811562479      0.311562479       33.3899994    
   6.15624934E-02  0.811562479      0.441562593       32.2500000    
   6.15624934E-02  0.811562479      0.561562479       31.3899994    
   6.15624934E-02  0.811562479      0.691562593       30.7900009    
   6.15624934E-02  0.811562479      0.811562479       30.3099995    
   6.15624934E-02  0.811562479      0.941562593       29.9300003    
   6.15624934E-02  0.811562479       1.06156254       29.7600002    
   6.15624934E-02  0.811562479       1.19156265       29.7999992    
   6.15624934E-02  0.811562479       1.31156254       29.8999996    
   6.15624934E-02  0.811562479       1.44156265       30.0799999    
   6.15624934E-02  0.811562479       1.56156254       30.3999996    
   6.15624934E-02  0.811562479       1.69156265       30.8500004    
   6.15624934E-02  0.811562479       1.81156254       31.5599995    
   6.15624934E-02  0.811562479       1.94156265       32.5099983    
   6.15624934E-02  0.811562479       2.06156254       33.2400017    
   6.15624934E-02  0.811562479       2.19156265       33.7400017    
   6.15624934E-02  0.811562479       2.31156254       34.8899994    
   6.15624934E-02  0.811562479       2.43856335       36.7000008    
   6.15624934E-02  0.811562479       2.56356335       38.6100006    
   6.15624934E-02  0.811562479       2.68856335       40.6199989    
   6.15624934E-02  0.811562479       2.81356335       42.4199982    
   6.15624934E-02  0.811562479       2.93856335       44.6100006    
   6.15624934E-02  0.811562479       3.06356335       43.4399986    
   6.15624934E-02  0.811562479       3.18856335       44.6800003    
   6.15624934E-02  0.811562479       3.31356335       44.9599991    
   6.15624934E-02  0.811562479       3.43856335       46.9500008    
   6.15624934E-02  0.811562479       3.56356335       48.0400009    
   6.15624934E-02  0.811562479       3.68856335       51.0800018    
   6.15624934E-02  0.811562479       3.81356335       61.9199982    
   6.15624934E-02  0.811562479       3.93856335       108.300003    
   6.15624934E-02  0.936562479       6.15624934E-02   34.3300018    
   6.15624934E-02  0.936562479      0.191562608       33.3699989    
   6.15624934E-02  0.936562479      0.311562479       32.3499985    
   6.15624934E-02  0.936562479      0.441562593       31.2600002    
   6.15624934E-02  0.936562479      0.561562479       30.4400005    
   6.15624934E-02  0.936562479      0.691562593       29.8999996    
   6.15624934E-02  0.936562479      0.811562479       29.4500008    
   6.15624934E-02  0.936562479      0.941562593       29.1000004    
   6.15624934E-02  0.936562479       1.06156254       28.8999996    
   6.15624934E-02  0.936562479       1.19156265       28.8700008    
   6.15624934E-02  0.936562479       1.31156254       28.9200001    
   6.15624934E-02  0.936562479       1.44156265       29.0599995    
   6.15624934E-02  0.936562479       1.56156254       29.3700008    
   6.15624934E-02  0.936562479       1.69156265       29.8600006    
   6.15624934E-02  0.936562479       1.81156254       30.6000004    
   6.15624934E-02  0.936562479       1.94156265       31.5900002    
   6.15624934E-02  0.936562479       2.06156254       32.3300018    
   6.15624934E-02  0.936562479       2.19156265       32.7999992    
   6.15624934E-02  0.936562479       2.31156254       33.9300003    
   6.15624934E-02  0.936562479       2.43856335       35.7200012    
   6.15624934E-02  0.936562479       2.56356335       37.5200005    
   6.15624934E-02  0.936562479       2.68856335       39.3300018    
   6.15624934E-02  0.936562479       2.81356335       41.1300011    
